Date,Adj Close,Close,High,Low,Open,Volume
2018-11-26,1576.860595703125,1690.0,1757.5,1685.0,1747.5,528800
2018-11-27,1597.8544921875,1712.5,1722.5,1655.0,1700.0,494400
2018-11-28,1658.5029296875,1777.5,1785.0,1737.5,1750.0,524600
2018-11-29,1681.8292236328125,1802.5,1877.5,1785.0,1825.0,1291000
2018-11-30,1705.1556396484375,1827.5,1842.5,1770.0,1792.5,966400
2018-12-03,1772.8017578125,1900.0,1942.5,1865.0,1875.0,1213600
2018-12-04,1754.1407470703125,1880.0,1935.0,1872.5,1902.5,831200
2018-12-05,1737.8123779296875,1862.5,1887.5,1825.0,1845.0,555800
2018-12-06,1637.5093994140625,1755.0,1845.0,1720.0,1845.0,844800
2018-12-07,1632.8438720703125,1750.0,1810.0,1737.5,1790.0,595600
2018-12-10,1513.87939453125,1622.5,1710.0,1605.0,1695.0,1176200
2018-12-11,1534.8734130859375,1645.0,1662.5,1600.0,1627.5,800200
2018-12-12,1600.18701171875,1715.0,1745.0,1657.5,1692.5,740000
2018-12-13,1616.5152587890625,1732.5,1747.5,1700.0,1730.0,650400
2018-12-14,1558.1995849609375,1670.0,1747.5,1657.5,1720.0,772800
2018-12-17,1518.544921875,1627.5,1677.5,1617.5,1635.0,693400
2018-12-18,1446.2330322265625,1550.0,1597.5,1532.5,1565.0,951000
2018-12-19,1420.5740966796875,1522.5,1560.0,1470.0,1527.5,816600
2018-12-20,1317.4716796875,1412.0,1484.0,1393.0,1450.0,1409000
2018-12-21,1285.748046875,1378.0,1422.0,1352.5,1411.5,740200
2018-12-24,1285.748046875,1378.0,1378.0,1378.0,1378.0,0
2018-12-25,1187.3106689453125,1272.5,1330.5,1265.0,1303.0,816200
2018-12-26,1217.826904296875,1297.0,1321.5,1266.0,1308.5,577600
2018-12-27,1279.798095703125,1363.0,1386.0,1337.0,1372.0,836400
2018-12-28,1315.478271484375,1401.0,1413.0,1347.5,1370.0,937200
2018-12-31,1315.478271484375,1401.0,1401.0,1401.0,1401.0,0
2019-01-04,1249.281982421875,1330.5,1370.0,1261.5,1351.0,1391800
2019-01-07,1301.3941650390625,1386.0,1409.5,1364.0,1399.0,790800
2019-01-08,1363.3651123046875,1452.0,1471.5,1411.5,1415.5,837600
2019-01-09,1365.242919921875,1454.0,1491.5,1431.5,1459.5,582000
2019-01-10,1348.811279296875,1436.5,1479.5,1422.0,1445.0,450600
